field,i,j,value
SDPval,0,,4848.07
SDPval,1,,2796.16
SDPval,2,,717.127
gradnorm,0,,2.97802
gradnorm,1,,3.81072
gradnorm,2,,0.652775
total_computation_time,,,98157.5
startingRank,,,3
endingRank,,,5
initialization_time,0,,47.5211
initialization_time,1,,34.4207
initialization_time,2,,41.383
initialization_time,3,,53.282
elapsed_optimization_times,0,,16960.3
elapsed_optimization_times,1,,35378.1
elapsed_optimization_times,2,,8631.69
verification_times,0,,248.067
verification_times,1,,269.668
verification_times,2,,123.101
